circuit_index,seed,compression_ratio,fidelity,robustness_class,total_gates,depth,entanglement_ratio,importance_entropy,importance_concentration
0,42,0.08,0.9771566380391976,robust,877,84,0.3272519954389966,5.894836837009562,0.5180233823728496
1,1042,0.08,0.8000549719372818,fragile,877,85,0.3272519954389966,5.808784946836668,0.5624964091567017
2,2042,0.08,0.9797362858375406,robust,877,84,0.3272519954389966,5.989030691206668,0.47327792876077224
3,3042,0.08,0.9762078504080157,robust,877,84,0.3272519954389966,5.919791372027396,0.5038993210807737
4,4042,0.08,0.8292660656255434,fragile,877,84,0.3272519954389966,5.864963487873371,0.511639386080072
5,5042,0.08,0.35086525862325046,fragile,877,84,0.3272519954389966,5.752973505797579,0.5657353668135101
6,6042,0.08,0.48884004996440217,fragile,877,84,0.3272519954389966,6.0506608981620555,0.4764446249607535
7,7042,0.08,0.8766084489321291,fragile,877,84,0.3272519954389966,5.818917401664127,0.5665929028546589
8,8042,0.08,0.44203673941118976,fragile,877,84,0.3272519954389966,5.875429846710928,0.5345584453268741
9,9042,0.08,0.9788802490076821,robust,877,84,0.3272519954389966,5.672697877716099,0.5975111520185364
10,10042,0.08,0.9116429539503166,robust,877,84,0.3272519954389966,5.888034071233696,0.5045007059644374
11,11042,0.08,0.9803617380800228,robust,877,84,0.3272519954389966,5.880073309812703,0.5090819621829986
12,12042,0.08,0.9762831481128846,robust,877,84,0.3272519954389966,5.7476548192448575,0.5815072468936896
13,13042,0.08,0.9787523313669386,robust,877,84,0.3272519954389966,5.783679654219778,0.588519884179741
14,14042,0.08,0.8795669344688429,fragile,877,84,0.3272519954389966,5.654060504724939,0.592538794626287
15,15042,0.08,0.9354353659073864,robust,877,84,0.3272519954389966,5.769455961389882,0.5712892487926716
16,16042,0.08,0.978659866417224,robust,877,84,0.3272519954389966,5.766188864409171,0.560103493867729
17,17042,0.08,0.8119294213860083,fragile,877,84,0.3272519954389966,5.642026299634129,0.6144499410020896
18,18042,0.08,0.4441064753575175,fragile,877,84,0.3272519954389966,6.012018631815057,0.4883931178919035
19,19042,0.08,0.4673886032409017,fragile,877,84,0.3272519954389966,5.821457469237157,0.5565738873966599
20,20042,0.08,0.9782642956223935,robust,877,84,0.3272519954389966,5.783244395915423,0.5689338103995937
21,21042,0.08,0.9778812466506386,robust,877,84,0.3272519954389966,5.964378905313256,0.49069231104940625
22,22042,0.08,0.9825521146370242,robust,877,84,0.3272519954389966,5.7500633445892095,0.5455542794228091
23,23042,0.08,0.9841611582797894,robust,877,84,0.3272519954389966,5.936137280677228,0.5032000774692945
24,24042,0.08,0.5185957349508277,fragile,877,84,0.3272519954389966,5.958464922650489,0.5037218322720163
25,25042,0.08,0.9769864056430825,robust,877,84,0.3272519954389966,5.7252614353705775,0.5944454952663575
26,26042,0.08,0.9579513539903509,robust,877,84,0.3272519954389966,5.8302821535161415,0.5709512891715105
27,27042,0.08,0.8693369744936988,fragile,877,84,0.3272519954389966,5.8769797010219955,0.5537554176010916
